File,Cloud Cover Over Land
LANDSAT_LC08_C02_T1_LC08_057014_20140414_2201401_100000_1397505506665.tif,0.94
LANDSAT_LC08_C02_T1_LC08_043018_20210226_2202203_100000_1614364412134.tif,0.91
LANDSAT_LC08_C02_T1_LC08_043018_20150602_2202203_100000_1433269960249.tif,2.35
LANDSAT_LC08_C02_T1_LC08_044018_20170206_2202203_100000_1486406382003.tif,2.84
LANDSAT_LC08_C02_T1_LC08_042024_20140811_3031092_100000_1407781787195.tif,0.06
LANDSAT_LC08_C02_T1_LC08_044018_20131228_2202203_100000_1388256067987.tif,4.57
LANDSAT_LC08_C02_T1_LC08_044018_20221221_2202203_100000_1671648005854.tif,0.05
LANDSAT_LC08_C02_T1_LC08_041018_20150519_406QLD0_100000_1432059612544.tif,0.31
LANDSAT_LC08_C02_T1_LC08_041019_20190919_406QLD0_100000_1568917312060.tif,0.31
LANDSAT_LC08_C02_T1_LC08_037025_20131024_4022359_100000_1382637660110.tif,3.55
LANDSAT_LC08_C02_T1_LC08_058013_20190214_2201401_100000_1550174639191.tif,0.05
LANDSAT_LC08_C02_T1_LC08_048023_20180816_1096631_100000_1534446351916.tif,2.01
LANDSAT_LC08_C02_T1_LC08_044018_20170918_2202203_100000_1505759991122.tif,0.12
LANDSAT_LC08_C02_T1_LC08_057014_20170305_2201401_100000_1488743896768.tif,0.28
LANDSAT_LC08_C02_T1_LC08_035022_20150218_5050919_100000_1424281529609.tif,0.02
LANDSAT_LC08_C02_T1_LC08_049019_20180401_1192948_100000_1522609827202.tif,0.24
LANDSAT_LC08_C02_T1_LC08_057014_20150228_2201401_100000_1425153494168.tif,4.39
LANDSAT_LC08_C02_T1_LC08_049019_20180111_1192948_100000_1515697865389.tif,1.75
LANDSAT_LC08_C02_T1_LC08_042024_20160222_3031092_100000_1456165777901.tif,2.56
LANDSAT_LC08_C02_T1_LC08_037024_20200402_4022359_100000_1585850310809.tif,1.97
LANDSAT_LC08_C02_T1_LC08_058013_20220310_2201401_100000_1646942653126.tif,3.19
LANDSAT_LC08_C02_T1_LC08_057014_20180916_2201401_100000_1537127885318.tif,2.65
LANDSAT_LC08_C02_T1_LC08_049019_20161121_1192948_100000_1479755481062.tif,2.69
LANDSAT_LC08_C02_T1_LC08_044018_20131212_2202203_100000_1386873676824.tif,1.25
LANDSAT_LC08_C02_T1_LC08_058013_20140811_2201401_100000_1407787457534.tif,0.06
LANDSAT_LC08_C02_T1_LC08_058013_20220326_2201401_100000_1648325041725.tif,0.0
LANDSAT_LC08_C02_T1_LC08_041018_20131207_406QLD0_100000_1386440566891.tif,2.12
LANDSAT_LC08_C02_T1_LC08_042024_20210323_3031092_100000_1616524172770.tif,2.05
LANDSAT_LC08_C02_T1_LC08_035022_20160205_5050919_100000_1454694342277.tif,1.7
LANDSAT_LC08_C02_T1_LC08_049019_20151103_1192948_100000_1446577867479.tif,1.12
LANDSAT_LC08_C02_T1_LC08_041018_20211229_406QLD0_100000_1640802085408.tif,0.0
LANDSAT_LC08_C02_T1_LC08_058014_20160325_2201401_100000_1458936262102.tif,0.34
LANDSAT_LC08_C02_T1_LC08_057014_20211111_2201401_100000_1636660730118.tif,1.16
LANDSAT_LC08_C02_T1_LC08_037024_20220424_4022359_100000_1650823117537.tif,2.32
LANDSAT_LC08_C02_T1_LC08_037024_20180107_4022359_100000_1515347936807.tif,0.41
LANDSAT_LC08_C02_T1_LC08_041018_20170321_406QLD0_100000_1490120449145.tif,0.35
LANDSAT_LC08_C02_T1_LC08_042024_20190318_3031092_100000_1552933759535.tif,0.71
LANDSAT_LC08_C02_T1_LC08_042024_20130824_3031092_100000_1377369106884.tif,2.27
LANDSAT_LC08_C02_T1_LC08_057014_20230306_2201401_100000_1678132708087.tif,3.57
LANDSAT_LC08_C02_T1_LC08_042018_20170107_406QLD0_100000_1483813652473.tif,1.97
LANDSAT_LC08_C02_T1_LC08_041018_20150316_406QLD0_100000_1426530045720.tif,0.0
LANDSAT_LC08_C02_T1_LC08_057014_20140617_2201401_100000_1403035090411.tif,3.35
LANDSAT_LC08_C02_T1_LC08_041018_20170711_406QLD0_100000_1499797258429.tif,0.19
LANDSAT_LC08_C02_T1_LC08_057014_20200125_2201401_100000_1579982315223.tif,2.04
LANDSAT_LC08_C02_T1_LC08_042018_20151001_406QLD0_100000_1443724041900.tif,4.7
LANDSAT_LC08_C02_T1_LC08_049019_20171108_1192948_100000_1510168277182.tif,0.26
LANDSAT_LC08_C02_T1_LC08_041019_20141226_406QLD0_100000_1419618099160.tif,1.56
LANDSAT_LC08_C02_T1_LC08_058013_20160206_2201401_100000_1454789055672.tif,0.91
LANDSAT_LC08_C02_T1_LC08_043022_20140223_3012202_100000_1393180552344.tif,1.07
LANDSAT_LC08_C02_T1_LC08_057014_20141108_2201401_100000_1415476721702.tif,1.32
LANDSAT_LC08_C02_T1_LC08_042024_20140710_3031092_100000_1405016975545.tif,1.93
LANDSAT_LC08_C02_T1_LC08_049019_20180924_1192948_100000_1537816241364.tif,4.1
LANDSAT_LC08_C02_T1_LC08_037024_20160728_4022359_100000_1469728730690.tif,0.57
LANDSAT_LC08_C02_T1_LC08_041019_20180220_406QLD0_100000_1519150880318.tif,0.07
LANDSAT_LC08_C02_T1_LC08_042024_20230430_3050519_100000_1682879353040.tif,1.22
LANDSAT_LC08_C02_T1_LC08_058014_20190214_2201401_100000_1550174663069.tif,0.43
LANDSAT_LC08_C02_T1_LC08_041024_20150111_3031092_100000_1421000616285.tif,0.76
LANDSAT_LC08_C02_T1_LC08_058013_20240315_2201401_100000_1710533043936.tif,2.1
LANDSAT_LC08_C02_T1_LC08_041019_20190311_406QLD0_100000_1552328471080.tif,2.82
LANDSAT_LC08_C02_T1_LC08_049019_20190826_1192948_100000_1566846671469.tif,2.49
LANDSAT_LC08_C02_T1_LC08_044018_20180329_2202203_100000_1522348750705.tif,1.07
LANDSAT_LC08_C02_T1_LC08_043018_20241219_2202203_100000_1734633213540.tif,0.21
LANDSAT_LC08_C02_T1_LC08_057014_20170508_2201401_100000_1494273468642.tif,0.39
LANDSAT_LC08_C02_T1_LC08_044018_20200215_2202203_100000_1581791984518.tif,2.41
LANDSAT_LC08_C02_T1_LC08_044018_20130409_2202203_100000_1365532813136.tif,0.0
LANDSAT_LC08_C02_T1_LC08_041019_20140124_406QLD0_100000_1390587761657.tif,4.89
LANDSAT_LC08_C02_T1_LC08_041018_20160302_406QLD0_100000_1456942863642.tif,0.01
LANDSAT_LC08_C02_T1_LC08_042025_20230430_3050519_100000_1682879376918.tif,2.82
